name,rating,address,category_names
Café Gandolfi,4.5,64 Albion Street,"('Seafood', 'British')"
Hutchesons Bar & Brasserie,4.0,158 Ingram Street,"('Scottish', 'Seafood', 'Steakhouses')"
BrewDog DogHouse,4.5,99 Hutcheson Street,"('Pubs', 'Beer, Wine & Spirits', 'Barbeque')"
The Wilson Street Pantry,4.5,6 Wilson Street,"('Cafes', 'Coffee & Tea', 'Breakfast & Brunch')"
Paesano Pizza,4.5,94 Miller Street,"('Pizza', 'Italian')"
Mono,4.0,10-12 King's Court,"('Bars', 'Vegan', 'Music Venues')"
Russian Cafe-Gallery Cossachok,4.5,10 King Street,"('Russian', 'Ukrainian')"
13th Note,4.0,50-60 King Street,"('Bars', 'Music Venues', 'Vegan')"
Brunswick Hotel,4.0,106 -108 Brunswick Street,"('Mediterranean', 'Italian')"
Blackfriars,4.0,36 Bell Street,"('Pubs',)"
Gandolfi Fish To Go,4.5,84-86 Albion Street,"('Seafood',)"
Babbity Bowster,4.0,16-18 Blackfriars Street,"('Pubs',)"
Trans-Europe Café,4.5,25 Parnie Street,"('Modern European', 'Cafes')"
The Dhabba,4.0,44 Candleriggs,"('Indian',)"
The Butterfly and the Pig,4.5,153 Bath Street,"('Scottish', 'Pubs', 'Venues & Event Spaces')"
Rab Ha's,4.0,83 Hutcheson Street,"('Hotels', 'Pubs')"
City Merchant Restaurant,4.0,97-99 Candleriggs,"('Seafood',)"
Osteria Del Tempo Perso,4.5,8 John Street,"('Italian',)"
Italian Kitchen,4.0,64 Ingram Street,"('Italian',)"
Wild Cabaret,4.0,18 Candleriggs,"('Bars', 'Cabaret', 'Modern European')"
Cail Bruich West,4.5,725 Great Western Road,"('Scottish', 'British')"
Bread Meats Bread,4.5,701 Great Western Road,"('Burgers', 'American (New)', 'Sandwiches')"
Ubiquitous Chip,4.5,8-12 Ashton Lane,"('Bars', 'Scottish', 'British')"
Oran Mor,3.5,731 Great Western Road,"('Pubs', 'Scottish', 'Venues & Event Spaces')"
Hillhead Bookclub,3.5,17 Vinicombe Street,"('Bars', 'Scottish')"
Papercup Coffee Company,4.5,603 Great Western Road,"('Breakfast & Brunch', 'Coffee Roasteries')"
Stravaigin,4.5,28 Gibson Street,"('Scottish', 'Gastropubs')"
Old Salty's,4.0,337 Byres Road,"('Fish & Chips',)"
Zizzi,4.0,8 Cresswell Lane,"('Italian',)"
Glasgow Botanic Gardens,4.5,730 Great Western Road,"('Parks',)"
Cafe Andaluz,3.5,2 Cresswell Lane,"('Spanish',)"
Bo'Vine Meats & Wines,4.0,385 Byres Road,"('Wine Bars', 'Breakfast & Brunch')"
Number 16 Restaurant,4.5,16 Byres Road,"('British',)"
The Hanoi Bike Shop,4.0,8 Ruthven Lane,"('Vietnamese',)"
Brel,4.0,39 Ashton Lane,"('Belgian', 'Bars')"
Naked Soup,4.0,6 Kersland Street,"('Soup', 'Coffee & Tea')"
Bothy Restaurant,4.0,11 Ruthven Lane,"('Nightlife', 'British', 'Scottish')"
Nic's NYC Deli,4.0,396 Byres Road,"('Hot Dogs', 'Donuts', 'American (New)')"
The Curler's Rest,3.5,256-260 Byres Road,"('Pubs', 'Gastropubs')"
The Crafty Pig,4.0,502 Great Western Road,"('Pubs', 'Barbeque')"
Cubatas Tapas Bar,4.5,108 Elderslie Street,"('Spanish', 'Tapas Bars')"
Bon Accord,4.5,153 North Street,"('Pubs',)"
Chinaski's,4.5,239 North Street,"('Bars',)"
Akbar's,4.5,573-581 Sauchiehall Street,"('Indian',)"
Nice N Sleazy,4.0,421 Sauchiehall Street,"('Bars',)"
Singl-end Garnethill,4.5,265 Renfrew Street,"('Cafes', 'Bakeries', 'Breakfast & Brunch')"
McPhabbs,4.0,23 Sandyford Place,"('Pubs', 'British')"
Nanakusa,4.0,441-449 Sauchiehall Street,"('Japanese', 'Sushi Bars')"
Two Fat Ladies at The Buttery,4.5,652-654 Argyle Street,"('Seafood',)"
Ox And Finch,4.5,920 Sauchiehall Street,"('Tapas/Small Plates', 'Scottish')"
Sichuan House,4.5,345-349 Sauchiehall Street,"('Chinese',)"
Pickled Ginger,4.5,512 St Vincent Street,"('Sushi Bars', 'Japanese')"
Alston Bar & Beef,4.5,Glasgow Central Station,"('Steakhouses', 'Cocktail Bars')"
Caprese - Don Costanzo,4.5,13 Woodside Crescent,"('Italian',)"
Non Viet,4.5,534 Sauchiehall Street,"('Vietnamese',)"
Stereo,4.5,20 Renfield Lane,"('Bars', 'Music Venues', 'Cafes')"
Mini Grill,4.5,244a Bath Street,"('Pubs', 'Scottish', 'British')"
Thairiffic,4.5,303 Sauchiehall Street,"('Thai',)"
Drygate Brewing Co,4.0,85 Drygate,"('Breweries', 'Scottish', 'Beer, Wine & Spirits')"
Bread Meats Bread,4.0,104 St Vincent Street,"('Burgers', 'Sandwiches', 'American (Traditional)')"
Chaakoo Bombay Cafe,4.5,79 Saint Vincent Street,"('Indian', 'Cafes')"
Topolabamba,4.0,89 Saint Vincent Street,"('Mexican', 'Bars')"
Miller & Carter,4.5,47 St Vincent Street,"('Steakhouses',)"
Rogano,4.5,11 Exchange Place,"('Seafood',)"
Rishi's Indian Aroma,4.5,61 Bath Street,"('Indian', 'Halal')"
The Anchor Line,4.0,12-16 Saint Vincent Street,"('American (New)', 'Scottish', 'Steakhouses')"
Riverhill Coffee Bar,4.5,24 Gordon Street,"('Coffee & Tea',)"
Lychee Oriental,4.5,59 Mitchell Street,"('Chinese',)"
Laurieston Bar,4.5,58 Bridge Street,"('Pubs',)"
Kervan Palace,4.0,61 Bridge Street,"('Turkish',)"
Max's Bar & Grill,4.0,73 Queen Street,"('American (Traditional)', 'Bars')"
Ichiban,4.0,52 Queen Street,"('Japanese', 'Sushi Bars')"
Dakhin Indian Restaurant,4.0,89 Candleriggs,"('Indian',)"
Sloans,3.5,62 Argyll Arcade,"('Bars', 'American (Traditional)')"
The Chippy Doon The Lane,4.0,McCormick Lane,"('Fish & Chips', 'Seafood')"
The Flying Duck,4.0,142 Renfield Street,"('Bars', 'Vegan')"
Bloc+,4.5,117 Bath Street,"('Pubs', 'Burgers', 'Pizza')"
Opium,4.5,191 Hope Street,"('Dim Sum', 'Asian Fusion')"
Hard Rock Cafe,3.5,179 Buchanan Street,"('American (Traditional)', 'Bars', 'Music Venues')"
The Raven,4.0,81-85 Renfield Street,"('Pubs',)"
Banana Leaf,4.5,67 Cambridge Street,"('Malaysian', 'Chinese')"
Shilling Brewing Company,4.5,92 West George Street,"('Breweries', 'Pubs')"
Nippon Kitchen,4.0,91 West George Street,"('Japanese',)"
The Pot Still,4.5,154 Hope Street,"('Pubs',)"
Chaophraya,4.0,The Townhouse,"('Lounges', 'Thai', 'Cocktail Bars')"
Saint Luke's And The Winged Ox,4.0,St Luke's,"('Bars', 'Chicken Wings', 'Gastropubs')"
Pot & Kettle,3.0,16a Bridgeton Cross,"('Coffee & Tea',)"
Harrington's Restaurant,5.0,19a West Main Street,"('Coffee & Tea', 'British')"
Greggs,5.0,,"('Bakeries', 'Sandwiches')"
People's Palace and Winter Gardens,4.0,Glasgow Green,"('Museums', 'Parks', 'Botanical Gardens')"
Sucre,4.0,13B Main Street,"('Breakfast & Brunch', 'British', 'Vegetarian')"
Glasgow Green,4.5,Greendyke Street,"('Parks',)"
Christines,4.0,32 Bridgeton Cross,"('Delis',)"
The Little Cake Parlour,4.5,408 White Studios,"('Bakeries', 'Patisserie/Cake Shop')"
The Seven Ways,3.0,621 London Road,"('Pubs',)"
New Jing Loon,2.5,25 Dalmarnock Rd,"('Fast Food', 'Chinese')"
Super Cook,5.0,31 Dalmarnock Road,"('Fast Food',)"
Dominion Bar,2.0,46 Dalmarnock Road,"('Pubs',)"
Handmade Burger,3.5,Unit X4,"('Burgers',)"
Doulton Fountain,4.5,Glasgow Green,"('Local Flavor',)"
Winners Chinese Carry Out,3.0,590 London Road,"('Fast Food',)"
The Bowlers Bar,4.0,100 Tullis St,"('Pubs',)"
Treble Two Bar,4.0,222 Abercromby Street,"('Pubs',)"
St Marys Church,4.0,89 Abercromby Street,"('Local Flavor', 'Churches')"
Hielan Jessie,3.5,374 Gallowgate,"('Pubs',)"
Café Source,4.5,1 St Andrews Square,"('Pubs', 'Gastropubs')"
Yelp Event: Backstage Tour at Citizens Theatre,5.0,119 Gorbals Street,"('Yelp Events',)"
Tempo Tea Bar,4.5,83 Queen Street,"('Bubble Tea',)"
La Fiorentina,4.5,2 Paisley Road W,"('Italian',)"
Nando's,4.0,Paisley Road West,"('Fast Food', 'Chicken Shop')"
King Tut's Wah Wah Hut,4.5,272 St Vincent Street,"('Pubs', 'Music Venues')"
India Quay,4.5,181 Finnieston Street,"('Indian',)"
The Fish People Cafe,4.5,350a Scotland Street,"('Cafes', 'Seafood')"
Primal Roast,4.5,278 St Vincent Street,"('Cafes',)"
Istanbul Turkish,4.5,7 Paisley Road W,"('Turkish',)"
The Shandon Belles,4.5,652-654 Argyle Street,"('British', 'Scottish')"
Panda Chinese Restaurant,3.0,Unit D3 Springfield Quay,"('Chinese',)"
Frankie & Benny's,3.0,Springfield Quay,"('American (Traditional)',)"
Glasgow Science Centre,4.0,50 Pacific Quay,"('Museums',)"
Home Style Authentic Indian Cusine,4.5,470 Paisley Road,"('Food Delivery Services', 'Indian')"
Creams Cafe,5.0,Glasgow quay leisure park,"('Desserts', 'Ice Cream & Frozen Yogurt', 'Creperies')"
Bite Me Sandwich Bar,5.0,383 Paisley Road W,"('Coffee & Tea', 'Sandwiches')"
Scotland Street School Museums,4.5,225 Scotland Street,"('Museums',)"
The Ferry,4.0,25 Anderston Quay,"('British', 'Music Venues', 'Venues & Event Spaces')"
Panda Hut,4.0,61-63 Paisley Road West,"('Fast Food',)"
Clyde Arc Bridge,4.0,Finnieston Street,"('Landmarks & Historical Buildings',)"
BBC Good Food Show,5.0,SECC,"('Festivals', 'Local Flavor')"
ORO,4.0,85 Kilmarnock Road,"('Italian', 'Pizza')"
The Butterfly and the Pig,3.5,1039 Pollokshaws Road,"('Bars', 'Scottish', 'Gastropubs')"
The Glad Cafe,4.0,1006 Pollokshaws Road,"('Cafes',)"
Ranjit's Kitchen,4.5,607 Pollokshaws Road,"('Indian',)"
Cafe Strange Brew,4.5,1082 Pollokshaws Road,"('Cafes',)"
Little India,4.0,71 Kilmarnock Road,"('Indian',)"
The Waverley Tea Room,3.0,18 Moss Side Road,"('Bars', 'Italian', 'British')"
Baguette Express,4.0,51 Kilmarnock Road,"('Fast Food',)"
The Rum Shack,4.5,657-659 Pollokshaws Road,"('Caribbean', 'Cocktail Bars')"
D'nisi,4.0,265 Kilmarnock Road,"('Cafes',)"
Pazzo,3.0,69 Kilmarnock Road,"('Italian',)"
Deli Zola,4.5,11 Skirving Street,"('Delis', 'Delicatessen', 'French')"
The Granary,3.5,10 Kilmarnock Road,"('Pubs', 'Gastropubs')"
The Bungo,4.0,17-21 Nithsdale Road,"('Gastropubs', 'Breakfast & Brunch', 'Scottish')"
The McMillan Southside,4.0,862 Pollokshaws Road,"('Bars', 'Steakhouses', 'Scottish')"
