station_id,distance_from_station,poi_name,category_names,address
af1d0f25cbc75377878349fde4d86133,31,Wilson Street Pantry,"('Café', 'Restaurant')",6 Wilson St
af1d0f25cbc75377878349fde4d86133,34,The Dhabba,"('Indian Restaurant',)",44 Candleriggs
af1d0f25cbc75377878349fde4d86133,43,Merchant Square,"('Bar', 'Restaurant')",71-73 Albion St
af1d0f25cbc75377878349fde4d86133,98,City Halls,"('Concert Hall', 'Theater')",
af1d0f25cbc75377878349fde4d86133,144,Spitfire Espresso,"('Coffee Shop', 'Restaurant')",127 Candleriggs
af1d0f25cbc75377878349fde4d86133,140,Britannia Panopticon Music Hall Trust,"('Charity',)",113-117 Trongate
af1d0f25cbc75377878349fde4d86133,150,iCafe,"('Internet Cafe',)",72 Ingram St
af1d0f25cbc75377878349fde4d86133,169,Italian Kitchen,"('Italian Restaurant',)",64 Ingram St
af1d0f25cbc75377878349fde4d86133,168,Tinderbox,"('Café', 'Coffee Shop', 'Restaurant')",118 Ingram St
af1d0f25cbc75377878349fde4d86133,199,DogHouse Merchant City,"('Arts and Entertainment', 'Beer Bar', 'BBQ Joint')",99 Hutcheson St
71b02b6f26f03e58c97dec1e1c9faa00,83,Glasgow Botanic Gardens,"('Park',)",730 Great Western Rd
71b02b6f26f03e58c97dec1e1c9faa00,78,Cail Bruich,"('Greek Restaurant', 'Scottish Restaurant')",725 Great Western Rd
71b02b6f26f03e58c97dec1e1c9faa00,174,Loop & Scoop,"('Ice Cream Parlor', 'Restaurant')",665 Great Western Rd
71b02b6f26f03e58c97dec1e1c9faa00,181,Ka Pao,"('Asian Restaurant',)",Botanic Gardens Garage
71b02b6f26f03e58c97dec1e1c9faa00,186,Hillhead Bookclub,"('Cocktail Bar', 'Wine Bar', 'Restaurant')",17 Vinicombe St
71b02b6f26f03e58c97dec1e1c9faa00,251,The Belle,"('Bar',)",617 Great Western Rd
71b02b6f26f03e58c97dec1e1c9faa00,291,Papercup Coffee Company,"('Coffee Shop',)",603 Great Western Rd
540d5877eb2aa25add536be07be49962,157,Black Pine Coffee Co,"('Coffee Shop', 'Restaurant')",518 Great Western Rd
c04c3fc64f0ba6c420bd3184f474bfc9,309,The Hanoi Bike Shop,"('Vietnamese Restaurant',)",8 Ruthven Lane
c04c3fc64f0ba6c420bd3184f474bfc9,232,Ubiquitous Chip,"('Bar', 'Scottish Restaurant')",12 Ashton Lane
f93ab2c803d81c14f7e2f1765911de04,79,Bon Accord,"('Whisky Bar', 'Restaurant')",153 North St
fa6bc682e8627d66891c2b6250c81b1e,115,Chinaskis,"('Beer Garden', 'Restaurant')",239 North St
fa6bc682e8627d66891c2b6250c81b1e,145,Shenaz,"('Indian Restaurant',)",17 Granville St
